Scenario,Pair,Agent,Cumulative Reward,Holding Cost,Lost Sales (units),Ordering Quantity,Service Level (%),Avg Inventory,Total Cost
Scenario B,S004_P0011,Forecast Base-Stock,-70116.31128580157,3380.7817797511816,2144.21892978251,2408.9616125750963,52.44579893203788,112.69272599170606,70116.31128580157
Scenario B,S003_P0013,RL+LSTM Agent,-32010.02282001124,6280.845872879028,764.0662975311279,2807.188021198373,79.08959229526195,209.36152909596757,32010.02282001124
Scenario B,S003_P0013,Standard RL Agent,-61711.76278530649,2266.0185128450394,1934.1980780363083,1419.8019313722061,47.0662813892636,75.53395042816798,61711.76278530649
Scenario B,S003_P0013,Fixed-S Policy,-67058.81313280348,3094.469574213028,2078.7629692554474,1601.4544809270305,43.109935159949444,103.14898580710091,67058.81313280348
Scenario B,S003_P0013,Forecast Base-Stock,-47774.33442748274,3525.9968988895416,1400.8218114376068,2223.6831854650013,61.66333302031728,117.53322996298473,47774.33442748274
Scenario B,S004_P0006,RL+LSTM Agent,-30466.70105217027,5900.009144484997,713.9164835512638,3149.19740114736,81.12330817050658,196.66697148283322,30466.70105217027
Scenario B,S004_P0006,Standard RL Agent,-73492.16083720601,2674.5616159439087,2312.734365463257,1435.568257364405,38.84890613091711,89.15205386479695,73492.16083720601
Scenario B,S004_P0006,Fixed-S Policy,-64157.168126694174,3161.703112602234,1981.5605325698853,1548.6490369953804,47.60548554819489,105.39010375340781,64157.168126694174
Scenario B,S004_P0006,Forecast Base-Stock,-54382.921616576394,3617.9971084594727,1624.004144191742,2044.8001823646584,57.05964707911605,120.59990361531575,54382.921616576394
Scenario B,S005_P0013,RL+LSTM Agent,-40573.09102291777,6550.414033174515,1048.5750682353973,2565.4249426813326,73.20963034656624,218.34713443915047,40573.09102291777
Scenario B,S005_P0013,Standard RL Agent,-70179.5777203714,2385.0518584251404,2202.1420907974243,1730.2631380235296,43.73678868683126,79.50172861417134,70179.5777203714
Scenario B,S005_P0013,Fixed-S Policy,-74006.7599624446,2746.361396074295,2321.5329883098602,1614.4089170745,40.68643361497546,91.54537986914316,74006.7599624446
Scenario B,S005_P0013,Forecast Base-Stock,-52032.72212132721,3466.8504853248596,1541.1379017829895,2331.734582512676,60.62498973472178,115.561682844162,52032.72212132721
Scenario B,S005_P0003,RL+LSTM Agent,-57510.85248320295,5145.4042110443115,1633.1162376403809,3371.9611429472125,67.51310448298426,171.51347370147704,57510.85248320295
Scenario B,S005_P0003,Standard RL Agent,-97067.0573738247,2113.388843536377,3109.620376586914,1665.0572326809167,38.14162767879622,70.4462947845459,97067.0573738247
Scenario B,S005_P0003,Fixed-S Policy,-96006.55003549412,2714.8989599347115,3042.7590524554253,2008.8795018966514,39.47167192250994,90.49663199782371,96006.55003549412
Scenario B,S005_P0003,Forecast Base-Stock,-79026.53236642086,3193.327003479004,2445.768823623657,2460.140654232151,51.34734784914149,106.44423344930013,79026.53236642086
Scenario C,S004_P0004,RL+LSTM Agent,-49714.82782802811,6228.917685985565,1336.8030433654785,3381.818841078184,70.31964823788903,207.63058953285218,49714.82782802811
Scenario C,S004_P0004,Standard RL Agent,-75160.42372012419,2791.2655215263367,2337.5896611213684,2241.4683649568046,48.099696689134795,93.04218405087789,75160.42372012419
Scenario C,S004_P0004,Fixed-S Policy,-84303.97140978748,3819.4482693029568,2621.285317515023,1845.9636150338308,41.8009476573041,127.31494231009856,84303.97140978748
Scenario C,S004_P0004,Forecast Base-Stock,-66518.08241525746,4411.385831530206,1984.0715417610481,2584.5503308958237,55.94867802484351,147.0461943843402,66518.08241525746
Scenario C,S003_P0002,RL+LSTM Agent,-52438.177726296984,5636.320383071899,1449.751561164856,3309.310508279398,67.90454812563968,187.87734610239664,52438.177726296984
Scenario C,S003_P0002,Standard RL Agent,-81741.83525272124,2667.183369398117,2576.3607132434845,1783.830486018585,42.96301276857461,88.90611231327057,81741.83525272124
Scenario C,S003_P0002,Fixed-S Policy,-84644.16046799789,3315.8213114738464,2654.8358476161957,1683.2637280381837,41.22568413512961,110.52737704912822,84644.16046799789
Scenario C,S003_P0002,Forecast Base-Stock,-71955.36245637637,3822.547316789627,2192.198384284973,2366.8636110375514,51.46782412475154,127.41824389298759,71955.36245637637
Scenario C,S005_P0017,RL+LSTM Agent,-46868.54349652873,5963.0810289382935,1268.8118042945862,2841.108338752847,70.608945927853,198.76936763127645,46868.54349652873
Scenario C,S005_P0017,Standard RL Agent,-78402.05651567534,2976.3590173721313,2461.8322443962097,1570.7301664169413,42.973540783038914,99.21196724573771,78402.05651567534
Scenario C,S005_P0017,Fixed-S Policy,-86047.72093690095,3437.601785302162,2696.9536126852036,1701.5107710426892,37.527134290358966,114.58672617673874,86047.72093690095
Scenario C,S005_P0017,Forecast Base-Stock,-67024.47492193959,3838.8499606359487,2028.0616669654846,2343.774952339103,53.02150412403325,127.96166535453162,67024.47492193959
Scenario C,S001_P0020,RL+LSTM Agent,-36734.093943338274,6421.344969749451,912.6594457626343,2932.9656007098006,75.59734109705958,214.04483232498168,36734.093943338274
Scenario C,S001_P0020,Standard RL Agent,-66829.42710017491,2195.2642177790403,2102.1353307515383,1570.1029598497307,43.79317314654606,73.175473925968,66829.42710017491
Scenario C,S001_P0020,Fixed-S Policy,-63996.19364828405,3495.177833557129,1964.0030841827393,1580.9232892447378,47.48654871195049,116.50592778523762,63996.19364828405
Scenario C,S001_P0020,Forecast Base-Stock,-48018.007263172185,3649.7734003067017,1406.775318145752,2164.97431849293,62.38568679569156,121.65911334355674,48018.007263172185
Scenario C,S005_P0019,RL+LSTM Agent,-41860.827115300686,5908.310606002808,1083.1962509155273,3456.628981832051,74.92601269921816,196.94368686676026,41860.827115300686
Scenario C,S005_P0019,Standard RL Agent,-75685.48156757119,2870.96102142334,2362.2569999694824,1946.8105470633764,45.3181249765635,95.69870071411133,75685.48156757119
Scenario C,S005_P0019,Fixed-S Policy,-83055.97096964902,3545.6098461151123,2592.576176404953,1733.075831385313,39.98666255672184,118.18699487050374,83055.97096964902
Scenario C,S005_P0019,Forecast Base-Stock,-64428.03325851822,3860.742311477661,1938.0160598754883,2426.8091507758945,55.13851711270479,128.6914103825887,64428.03325851822
Scenario C,S005_P0006,RL+LSTM Agent,-34317.17945703863,6010.883715629578,845.3780469894409,2944.9543317258217,77.97347454430847,200.36279052098593,34317.17945703863
Scenario C,S005_P0006,Standard RL Agent,-69285.03766819948,1753.379861831665,2199.553608894348,1545.0495395373625,42.69010920025148,58.445995394388845,69285.03766819948
Scenario C,S005_P0006,Fixed-S Policy,-64232.60950444295,3039.051909685135,1988.1180613040924,1550.0157556350478,48.19911252464585,101.30173032283783,64232.60950444295
Scenario C,S005_P0006,Forecast Base-Stock,-48931.51641606863,3437.9798974990845,1442.8683700561523,2207.4854168849715,62.405722510261796,114.59932991663615,48931.51641606863
Scenario C,S004_P0006,RL+LSTM Agent,-30466.70105217027,5900.009144484997,713.9164835512638,3149.19740114736,81.12330817050658,196.66697148283322,30466.70105217027
Scenario C,S004_P0006,Standard RL Agent,-73492.16083720601,2674.5616159439087,2312.734365463257,1435.568257364405,38.84890613091711,89.15205386479695,73492.16083720601
Scenario C,S004_P0006,Fixed-S Policy,-64157.168126694174,3161.703112602234,1981.5605325698853,1548.6490369953804,47.60548554819489,105.39010375340781,64157.168126694174
Scenario C,S004_P0006,Forecast Base-Stock,-54382.921616576394,3617.9971084594727,1624.004144191742,2044.8001823646584,57.05964707911605,120.59990361531575,54382.921616576394
Scenario C,S003_P0004,RL+LSTM Agent,-48689.566435278146,5935.493309259415,1322.5197713375092,3078.4799858934603,69.1288568782094,197.84977697531383,48689.566435278146
Scenario C,S003_P0004,Standard RL Agent,-82866.71520435874,2186.522464632988,2633.432306408882,1677.2235474592799,38.528657646851485,72.88408215443293,82866.71520435874
Scenario C,S003_P0004,Fixed-S Policy,-74341.61066756274,3393.7630186080933,2308.95884513855,1679.0822947981492,46.10273470731677,113.1254339536031,74341.61066756274
Scenario C,S003_P0004,Forecast Base-Stock,-61078.14405513303,3892.6815215349197,1830.2683945298195,2277.410697703528,57.276648120218965,129.75605071783065,61078.14405513303
Scenario C,S001_P0012,RL+LSTM Agent,-20914.497795102703,7430.005095243454,367.31881284713745,2464.9283144451256,86.64780760279399,247.6668365081151,20914.497795102703
Scenario C,S001_P0012,Standard RL Agent,-44184.05723157179,2145.0221831798553,1363.224122285843,1142.31137981665,50.4462332865924,71.50073943932851,44184.05723157179
Scenario C,S001_P0012,Fixed-S Policy,-42656.93758074257,3109.6099279522896,1269.0834562182426,1474.823966242996,53.86828585175417,103.6536642650763,42656.93758074257
Scenario C,S001_P0012,Forecast Base-Stock,-31121.833296883757,4112.759952545166,835.6692519187927,1938.9957867748149,69.6230733580955,137.0919984181722,31121.833296883757
Scenario C,S001_P0002,RL+LSTM Agent,-41971.4537159141,5625.492034912109,1104.6757125854492,3205.6903034385114,75.25368027362344,187.516401163737,41971.4537159141
Scenario C,S001_P0002,Standard RL Agent,-78218.4743889453,2834.968988418579,2449.272310256958,1905.3360928179777,45.13278874872405,94.4989662806193,78218.4743889453
Scenario C,S001_P0002,Fixed-S Policy,-78238.67873326545,2962.191226005554,2441.462571144104,2032.6103729367685,45.307738101610575,98.73970753351847,78238.67873326545
Scenario C,S001_P0002,Forecast Base-Stock,-69844.01600755805,3678.3855686187744,2128.629807472229,2306.7362147724043,52.315640513614944,122.61285228729248,69844.01600755805
